URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/nilar-specimen,StructureDefinition/nilar-service-request,StructureDefinition/nilar-observation","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/nilar-practitioner-role","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/nilar-diagnostic-report","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/nilar-observation","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/nilar-practitioner-role","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/nilar-diagnostic-report","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/nilar-practitioner-role,StructureDefinition/nilar-specimen,StructureDefinition/nilar-service-request,StructureDefinition/nilar-diagnostic-report,StructureDefinition/nilar-observation","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/nilar-practitioner-role,StructureDefinition/nilar-specimen,StructureDefinition/nilar-service-request,StructureDefinition/nilar-diagnostic-report,StructureDefinition/nilar-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/issue-severity,4.0.1,active,"2.16.840.1.113883.4.642.3.408",IssueSeverity,IssueSeverity,"How the issue affects the success of the action.","StructureDefinition/nilar-operation-outcome","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/issue-type,4.0.1,active,"2.16.840.1.113883.4.642.3.410",IssueType,IssueType,"A code that describes the type of issue.","StructureDefinition/nilar-operation-outcome","hl7.fhir.r4.core"
